,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment
5123,AA,24.0,DCA,3520.0,OMA,3454.0,Y,0,E70
5124,AA,24.0,DCA,3520.0,ORD,3830.0,,0,738 M83 M80
5125,AA,24.0,DCA,3520.0,ORF,3611.0,,0,DH3
5126,AA,24.0,DCA,3520.0,PBI,3722.0,Y,0,E75 E70
5127,AA,24.0,DCA,3520.0,PDX,3720.0,Y,0,737
5128,AA,24.0,DCA,3520.0,PHL,3752.0,,0,319 320 DH3
5129,AA,24.0,DCA,3520.0,PHX,3462.0,,0,320 757
5130,AA,24.0,DCA,3520.0,PIT,3570.0,Y,0,CRJ E75
5131,AA,24.0,DCA,3520.0,PNS,3564.0,Y,0,CRJ
5132,AA,24.0,DCA,3520.0,PVD,3641.0,Y,0,CRJ E75 E70
5133,AA,24.0,DCA,3520.0,PWM,3862.0,Y,0,E75 CRJ E70
5134,AA,24.0,DCA,3520.0,RDU,3626.0,Y,0,ERD CRJ
5135,AA,24.0,DCA,3520.0,ROC,3622.0,Y,0,E70 CRJ
5136,AA,24.0,DCA,3520.0,RSW,3793.0,Y,0,E75 E70
5137,AA,24.0,DCA,3520.0,SAN,3731.0,,0,319
5138,AA,24.0,DCA,3520.0,SAV,3613.0,Y,0,CRJ
5139,AA,24.0,DCA,3520.0,SDF,4014.0,Y,0,CRJ E75
5140,AA,24.0,DCA,3520.0,SRQ,4067.0,Y,0,CRJ
5141,AA,24.0,DCA,3520.0,STL,3678.0,Y,0,CR7
5142,AA,24.0,DCA,3520.0,SYR,3745.0,Y,0,E70 CRJ E75
5143,AA,24.0,DCA,3520.0,TLH,3698.0,Y,0,CRJ
5144,AA,24.0,DCA,3520.0,TPA,3646.0,,0,319
5145,AA,24.0,DCA,3520.0,TYS,3676.0,Y,0,CRJ
5146,AA,24.0,DCA,3520.0,VPS,3873.0,Y,0,CRJ
5147,AA,24.0,DCA,3520.0,YHZ,73.0,Y,0,CRJ
5148,AA,24.0,DCA,3520.0,YUL,146.0,Y,0,CRJ
5149,AA,24.0,DCA,3520.0,YYZ,193.0,Y,0,CRJ
5160,AA,24.0,DFW,3670.0,ABI,3718.0,Y,0,ERD CRJ ER4
5161,AA,24.0,DFW,3670.0,ABQ,4019.0,,0,M80 M83
5162,AA,24.0,DFW,3670.0,ACT,3700.0,Y,0,ER4 ERD
5163,AA,24.0,DFW,3670.0,AEX,3852.0,Y,0,CRJ ER4 ERD
5164,AA,24.0,DFW,3670.0,AGU,1785.0,Y,0,ER4
5165,AA,24.0,DFW,3670.0,AMA,3840.0,Y,0,ER4 CRJ ERD
5166,AA,24.0,DFW,3670.0,ATL,3682.0,,0,M83 M80 319
5167,AA,24.0,DFW,3670.0,AUS,3673.0,,0,M80 M83 738
5168,AA,24.0,DFW,3670.0,BDL,3825.0,,0,738
5169,AA,24.0,DFW,3670.0,BHM,3811.0,,0,M80 M83
5170,AA,24.0,DFW,3670.0,BJX,1815.0,,0,319
5171,AA,24.0,DFW,3670.0,BMI,4037.0,Y,0,ER4
5172,AA,24.0,DFW,3670.0,BNA,3690.0,,0,738 M80 M83
5173,AA,24.0,DFW,3670.0,BNE,3320.0,Y,0,744
5174,AA,24.0,DFW,3670.0,BOG,2709.0,,0,319
5175,AA,24.0,DFW,3670.0,BOS,3448.0,,0,738 757
5176,AA,24.0,DFW,3670.0,BPT,3612.0,Y,0,ERD ER4 CRJ
5177,AA,24.0,DFW,3670.0,BRO,3738.0,Y,0,CRJ ER4
5178,AA,24.0,DFW,3670.0,BTR,3846.0,Y,0,ERD ER4 CRJ
5179,AA,24.0,DFW,3670.0,BWI,3849.0,,0,M83 M80
5180,AA,24.0,DFW,3670.0,BZE,1957.0,,0,738
5181,AA,24.0,DFW,3670.0,CAE,3561.0,Y,0,ER4
5182,AA,24.0,DFW,3670.0,CCS,2851.0,,0,738
5183,AA,24.0,DFW,3670.0,CDG,1382.0,,0,763 777
5184,AA,24.0,DFW,3670.0,CHA,3578.0,Y,0,ERD ER4
5185,AA,24.0,DFW,3670.0,CHS,3806.0,Y,0,ER4 ERD
5186,AA,24.0,DFW,3670.0,CID,4043.0,Y,0,ER4 CRJ
5187,AA,24.0,DFW,3670.0,CLE,3486.0,,0,319
5188,AA,24.0,DFW,3670.0,CLL,3715.0,Y,0,ER4 ERD CRJ
5189,AA,24.0,DFW,3670.0,CLT,3876.0,,0,321 319 M80 M83 320 737 757
5190,AA,24.0,DFW,3670.0,CMH,3759.0,,0,M83 M80
5191,AA,24.0,DFW,3670.0,CMI,4049.0,Y,0,ER4
5192,AA,24.0,DFW,3670.0,COS,3819.0,,0,M80 M83
5193,AA,24.0,DFW,3670.0,COU,3719.0,Y,0,ER4 ERD
5194,AA,24.0,DFW,3670.0,CRP,3744.0,,0,319
5195,AA,24.0,DFW,3670.0,CRW,4285.0,Y,0,CRJ
5196,AA,24.0,DFW,3670.0,CUN,1852.0,,0,738 757
5197,AA,24.0,DFW,3670.0,CUU,1797.0,Y,0,ERD ER4
5198,AA,24.0,DFW,3670.0,CVG,3488.0,Y,0,ERD ER4
5199,AA,24.0,DFW,3670.0,CZM,1800.0,,0,738
5200,AA,24.0,DFW,3670.0,DAY,3627.0,,0,319 M80 M83
5201,AA,24.0,DFW,3670.0,DCA,3520.0,,0,738 M80
5202,AA,24.0,DFW,3670.0,DEN,3751.0,,0,738 M80 M83
5203,AA,24.0,DFW,3670.0,DRO,3713.0,Y,0,ER4 CRJ
5204,AA,24.0,DFW,3670.0,DSM,3729.0,,0,M83 M80
5205,AA,24.0,DFW,3670.0,DTW,3645.0,,0,738 M83 M80
5206,AA,24.0,DFW,3670.0,ELP,3559.0,,0,M80 319
5207,AA,24.0,DFW,3670.0,EVV,4018.0,Y,0,ERD
5208,AA,24.0,DFW,3670.0,EWR,3494.0,,0,M83 M80
5209,AA,24.0,DFW,3670.0,EZE,3988.0,,0,777
5210,AA,24.0,DFW,3670.0,FAR,4292.0,Y,0,ER4 ERD
5211,AA,24.0,DFW,3670.0,FAT,3687.0,,0,M80
5212,AA,24.0,DFW,3670.0,FLL,3533.0,,0,738
5213,AA,24.0,DFW,3670.0,FRA,340.0,,0,777
5214,AA,24.0,DFW,3670.0,FSD,4009.0,Y,0,ER4 CRJ
5215,AA,24.0,DFW,3670.0,FSM,3437.0,Y,0,ER4 ERD
5216,AA,24.0,DFW,3670.0,FWA,4041.0,Y,0,ER4
5217,AA,24.0,DFW,3670.0,GCK,3497.0,Y,0,ERD ER4
5218,AA,24.0,DFW,3670.0,GDL,1804.0,,0,M80
5219,AA,24.0,DFW,3670.0,GGG,3465.0,Y,0,ER4 ERD
5220,AA,24.0,DFW,3670.0,GIG,2560.0,,0,763
5221,AA,24.0,DFW,3670.0,GJT,4063.0,Y,0,ER4
5222,AA,24.0,DFW,3670.0,GPT,4038.0,Y,0,ERD ER4
5223,AA,24.0,DFW,3670.0,GRI,5740.0,Y,0,ERD ER4
5224,AA,24.0,DFW,3670.0,GRK,3775.0,Y,0,ER4 CRJ ERD
5225,AA,24.0,DFW,3670.0,GRR,3685.0,Y,0,ER4 ERD
5226,AA,24.0,DFW,3670.0,GRU,2564.0,,0,77W
5227,AA,24.0,DFW,3670.0,GSO,4008.0,Y,0,ER4
5228,AA,24.0,DFW,3670.0,GSP,4034.0,Y,0,ER4
5229,AA,24.0,DFW,3670.0,GUA,1767.0,,0,738
5230,AA,24.0,DFW,3670.0,HNL,3728.0,,0,763
5231,AA,24.0,DFW,3670.0,HOU,3566.0,,0,M83 M80
5232,AA,24.0,DFW,3670.0,HSV,4113.0,,0,319
5233,AA,24.0,DFW,3670.0,IAD,3714.0,,0,738 M80
5234,AA,24.0,DFW,3670.0,IAH,3550.0,,0,M83 M80
5235,AA,24.0,DFW,3670.0,ICN,3930.0,,0,777
5236,AA,24.0,DFW,3670.0,ICT,3457.0,,0,319
5237,AA,24.0,DFW,3670.0,IND,3585.0,,0,M80 M83
5238,AA,24.0,DFW,3670.0,JAN,3580.0,Y,0,ER4 ERD
5239,AA,24.0,DFW,3670.0,JAX,3712.0,,0,M80 M83
5240,AA,24.0,DFW,3670.0,JFK,3797.0,,0,738
5241,AA,24.0,DFW,3670.0,JLN,4354.0,Y,0,ER4
5242,AA,24.0,DFW,3670.0,LAS,3877.0,,0,738 M80 M83 757
5243,AA,24.0,DFW,3670.0,LAW,4256.0,Y,0,ERD ER4
5244,AA,24.0,DFW,3670.0,LAX,3484.0,,0,738 763 757 M83
5245,AA,24.0,DFW,3670.0,LBB,3829.0,,0,M80 M83
5246,AA,24.0,DFW,3670.0,LCH,3513.0,Y,0,ERD ER4
5247,AA,24.0,DFW,3670.0,LEX,4017.0,Y,0,ERD ER4
5248,AA,24.0,DFW,3670.0,LFT,3493.0,Y,0,ERD ER4 CRJ
5249,AA,24.0,DFW,3670.0,LGA,3697.0,,0,738
5250,AA,24.0,DFW,3670.0,LHR,507.0,,0,77W 777
5251,AA,24.0,DFW,3670.0,LIM,2789.0,,0,763
5252,AA,24.0,DFW,3670.0,LIR,1881.0,,0,738
5253,AA,24.0,DFW,3670.0,LIT,3660.0,,0,M80 M83
5254,AA,24.0,DFW,3670.0,LRD,3691.0,Y,0,ERD CRJ ER4
