source,source_id,layover,layover_id,dest,dest_id
LEX,4017,PIE,3617,PIA,4046
LEX,4017,PIE,3617,RFD,4028
LEX,4017,PIE,3617,ROA,4016
LEX,4017,PIE,3617,SBN,4359
LEX,4017,PIE,3617,SGF,4348
LEX,4017,PIE,3617,SWF,3661
LEX,4017,PIE,3617,SYR,3745
LEX,4017,PIE,3617,TOL,4040
LEX,4017,PIE,3617,TRI,4116
LEX,4017,PIE,3617,TYS,3676
LEX,4017,PIE,3617,YNG,3881
LEX,4017,SFB,4167,ABE,4355
LEX,4017,SFB,4167,ATW,4047
LEX,4017,SFB,4167,AVL,4007
LEX,4017,SFB,4167,AVP,4286
LEX,4017,SFB,4167,BGR,3463
LEX,4017,SFB,4167,BIS,4083
LEX,4017,SFB,4167,BLV,3790
LEX,4017,SFB,4167,BMI,4037
LEX,4017,SFB,4167,BTV,3711
LEX,4017,SFB,4167,CHA,3578
LEX,4017,SFB,4167,CID,4043
LEX,4017,SFB,4167,CKB,5730
LEX,4017,SFB,4167,CVG,3488
LEX,4017,SFB,4167,DSM,3729
LEX,4017,SFB,4167,ELM,3946
LEX,4017,SFB,4167,FAR,4292
LEX,4017,SFB,4167,FSD,4009
LEX,4017,SFB,4167,FWA,4041
LEX,4017,SFB,4167,GFK,3442
LEX,4017,SFB,4167,GRR,3685
LEX,4017,SFB,4167,GSO,4008
LEX,4017,SFB,4167,GSP,4034
LEX,4017,SFB,4167,HGR,6739
LEX,4017,SFB,4167,HTS,5742
LEX,4017,SFB,4167,IAG,3630
LEX,4017,SFB,4167,LAN,3544
LEX,4017,SFB,4167,LCK,3674
LEX,4017,SFB,4167,LEX,4017
LEX,4017,SFB,4167,LIT,3660
LEX,4017,SFB,4167,MDT,3542
LEX,4017,SFB,4167,MLI,4072
LEX,4017,SFB,4167,OKC,3863
LEX,4017,SFB,4167,OWB,5758
LEX,4017,SFB,4167,PBG,3771
LEX,4017,SFB,4167,PHF,3633
LEX,4017,SFB,4167,PSM,5763
LEX,4017,SFB,4167,RFD,4028
LEX,4017,SFB,4167,ROA,4016
LEX,4017,SFB,4167,SBN,4359
LEX,4017,SFB,4167,SGF,4348
LEX,4017,SFB,4167,SPI,4336
LEX,4017,SFB,4167,TOL,4040
LEX,4017,SFB,4167,TRI,4116
LEX,4017,SFB,4167,TUL,3855
LEX,4017,SFB,4167,TYS,3676
LEX,4017,SFB,4167,XNA,4356
LEX,4017,SFB,4167,YNG,3881
LEX,4017,ORD,3830,PEK,3364
LEX,4017,ORD,3830,PVG,3406
