,GEO.id,GEO.id2,GEO.display-label,P1-D001,P3-D001,P3-D002,P3-D003,P3-D004,P3-D005,P3-D006,P3-D007,P3-D008,P4-D001,P4-D002,P4-D003,H1-D001,H3-D001,H3-D002,H3-D003,H4-D001,H4-D002,H4-D003,H4-D004,H5-D001,H5-D002,H5-D003,H5-D004,H5-D005,H5-D006,H5-D007,H5-D008,tract,county,state,pct_rent,pct_black,pct_asian,pct_white,pct_hisp,pct_vacant
151,1400000US21037051903,21037051903,"Census Tract 519.03, Campbell County, Kentucky",5316,5316,5210,23,7,18,0,7,51,5316,5270,46,2191,2191,2034,157,2034,1122,436,476,157,67,3,21,17,18,0,31,Census Tract 519.03, Campbell County, Kentucky,23.402163225172075,0.4326561324303988,0.33860045146726864,98.00601956358163,0.8653122648607976,7.165677772706528
152,1400000US21037051904,21037051904,"Census Tract 519.04, Campbell County, Kentucky",4242,4242,4150,13,3,26,2,10,38,4242,4203,39,1521,1521,1457,64,1457,1027,298,132,64,14,0,19,4,5,0,22,Census Tract 519.04, Campbell County, Kentucky,9.059711736444749,0.30645921735030646,0.6129184347006129,97.83121169259783,0.9193776520509194,4.2077580539119
153,1400000US21037052001,21037052001,"Census Tract 520.01, Campbell County, Kentucky",4836,4836,4755,21,7,27,0,3,23,4836,4821,15,1853,1853,1752,101,1752,1103,437,212,101,16,5,22,4,13,0,41,Census Tract 520.01, Campbell County, Kentucky,12.100456621004566,0.4342431761786601,0.5583126550868486,98.32506203473945,0.3101736972704715,5.450620615218565
154,1400000US21037052002,21037052002,"Census Tract 520.02, Campbell County, Kentucky",2818,2818,2772,7,1,5,0,1,32,2818,2801,17,1106,1106,1012,94,1012,591,279,142,94,16,1,13,8,20,0,36,Census Tract 520.02, Campbell County, Kentucky,14.031620553359684,0.248403122782115,0.17743080198722497,98.36763662171752,0.603264726756565,8.499095840867993
155,1400000US21037052100,21037052100,"Census Tract 521, Campbell County, Kentucky",3443,3443,3266,54,5,25,0,30,63,3443,3355,88,1715,1715,1500,215,1500,661,194,645,215,75,4,50,9,10,0,67,Census Tract 521, Campbell County, Kentucky,43.0,1.5683996514667442,0.7261109497531223,94.8591344757479,2.5559105431309903,12.536443148688047
156,1400000US21037052200,21037052200,"Census Tract 522, Campbell County, Kentucky",2402,2402,2343,14,4,13,0,9,19,2402,2360,42,1198,1198,1087,111,1087,660,228,199,111,55,0,14,10,3,0,29,Census Tract 522, Campbell County, Kentucky,18.307267709291626,0.5828476269775187,0.5412156536219818,97.54371357202332,1.7485428809325563,9.265442404006679
157,1400000US21037052301,21037052301,"Census Tract 523.01, Campbell County, Kentucky",4534,4534,4262,104,3,49,0,43,73,4534,4446,88,2391,2391,2210,181,2210,841,312,1057,181,97,9,24,10,11,0,30,Census Tract 523.01, Campbell County, Kentucky,47.828054298642535,2.293780326422585,1.0807234230260256,94.00088222320248,1.9408910454344948,7.570054370556252
158,1400000US21037052302,21037052302,"Census Tract 523.02, Campbell County, Kentucky",4679,4679,4533,50,3,37,0,10,46,4679,4631,48,2061,2061,1892,169,1892,1025,345,522,169,67,4,43,8,9,0,38,Census Tract 523.02, Campbell County, Kentucky,27.58985200845666,1.068604402650139,0.7907672579611028,96.8796751442616,1.0258602265441334,8.199902959728288
159,1400000US21037052400,21037052400,"Census Tract 524, Campbell County, Kentucky",2721,2721,2556,74,5,23,0,19,44,2721,2672,49,1226,1226,1133,93,1133,547,189,397,93,46,1,17,4,1,0,24,Census Tract 524, Campbell County, Kentucky,35.039717563989406,2.719588386622565,0.8452774715178243,93.93605292171996,1.800808526277104,7.585644371941272
160,1400000US21037052500,21037052500,"Census Tract 525, Campbell County, Kentucky",5543,5543,5001,305,6,47,0,32,152,5543,5445,98,2506,2506,2279,227,2279,928,270,1081,227,123,8,24,6,9,0,57,Census Tract 525, Campbell County, Kentucky,47.43308468626591,5.502435504239581,0.847916290817247,90.22190149738408,1.767995670214685,9.058260175578612
